[2024-12-12 00:56:41,412: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-12-12 00:56:59,818: WARNING: module_wrapper]: From C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\project\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-12-12 00:57:00,573: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-12-12 00:57:00,623: INFO: face_verification]: Extracting face...
[2024-12-12 00:57:01,413: INFO: face_verification]: Extracted face saved at: C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 00:57:01,848: INFO: sql_connection]: Connection established with database
[2024-12-12 00:57:02,607: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:57:02,608: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:57:02,609: INFO: app]: ID card type selected: PAN
[2024-12-12 00:57:02,609: INFO: app]: Header set for PAN Card registration.
[2024-12-12 00:57:09,211: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:57:09,211: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:57:09,213: INFO: app]: ID card type selected: AADHAR
[2024-12-12 00:57:09,214: INFO: app]: Header set for Aadhar Card registration.
[2024-12-12 00:57:12,036: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:57:12,036: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:57:12,038: INFO: app]: ID card type selected: PAN
[2024-12-12 00:57:12,038: INFO: app]: Header set for PAN Card registration.
[2024-12-12 00:57:54,583: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:57:54,584: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:57:54,585: INFO: app]: ID card type selected: PAN
[2024-12-12 00:57:54,586: INFO: app]: Header set for PAN Card registration.
[2024-12-12 00:57:54,587: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-12-12 00:57:54,587: INFO: app]: Face image loaded.
[2024-12-12 00:57:54,588: ERROR: app]: No face image uploaded.
[2024-12-12 00:58:43,575: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:58:43,576: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:58:43,577: INFO: app]: ID card type selected: PAN
[2024-12-12 00:58:43,578: INFO: app]: Header set for PAN Card registration.
[2024-12-12 00:58:43,582: INFO: app]: Face image loaded.
[2024-12-12 00:58:43,590: INFO: app]: ID card image loaded.
[2024-12-12 00:58:43,608: INFO: preprocess]: contours are found at, (0, 0, 736, 552)
[2024-12-12 00:58:43,608: INFO: utils]: File exists at C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2024-12-12 00:58:43,620: INFO: app]: ID card ROI extracted.
[2024-12-12 00:58:43,620: INFO: face_verification]: Extracting face...
[2024-12-12 00:58:43,728: INFO: face_verification]: Extracted face saved at: C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 00:58:43,732: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2024-12-12 00:58:43,734: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-12-12 00:58:43,734: INFO: app]: Faces extracted and saved.
[2024-12-12 00:58:43,734: INFO: face_verification]: Verifying the images....
[2024-12-12 00:58:43,734: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2024-12-12 00:58:43,734: INFO: utils]: File exists at C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 00:59:23,298: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:59:23,300: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:59:23,303: INFO: app]: ID card type selected: PAN
[2024-12-12 00:59:23,303: INFO: app]: Header set for PAN Card registration.
[2024-12-12 00:59:23,317: INFO: app]: Face image loaded.
[2024-12-12 00:59:23,328: INFO: app]: ID card image loaded.
[2024-12-12 00:59:23,352: INFO: preprocess]: contours are found at, (0, 0, 736, 552)
[2024-12-12 00:59:23,354: INFO: utils]: File exists at C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2024-12-12 00:59:23,368: INFO: app]: ID card ROI extracted.
[2024-12-12 00:59:23,368: INFO: face_verification]: Extracting face...
[2024-12-12 00:59:23,515: INFO: face_verification]: Extracted face saved at: C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 00:59:23,520: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2024-12-12 00:59:23,523: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-12-12 00:59:23,523: INFO: app]: Faces extracted and saved.
[2024-12-12 00:59:23,523: INFO: face_verification]: Verifying the images....
[2024-12-12 00:59:23,524: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2024-12-12 00:59:23,524: INFO: utils]: File exists at C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 00:59:37,052: INFO: app]: Page layout set to wider configuration.
[2024-12-12 00:59:37,055: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 00:59:37,057: INFO: app]: ID card type selected: PAN
[2024-12-12 00:59:37,057: INFO: app]: Header set for PAN Card registration.
[2024-12-12 00:59:37,073: INFO: app]: Face image loaded.
[2024-12-12 00:59:37,081: INFO: app]: ID card image loaded.
[2024-12-12 00:59:37,104: INFO: preprocess]: contours are found at, (0, 0, 736, 552)
[2024-12-12 00:59:37,105: INFO: utils]: File exists at C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\contour_id.jpg
[2024-12-12 00:59:37,124: INFO: app]: ID card ROI extracted.
[2024-12-12 00:59:37,124: INFO: face_verification]: Extracting face...
[2024-12-12 00:59:37,265: INFO: face_verification]: Extracted face saved at: C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 00:59:37,269: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2024-12-12 00:59:37,271: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-12-12 00:59:37,271: INFO: app]: Faces extracted and saved.
[2024-12-12 00:59:37,271: INFO: face_verification]: Verifying the images....
[2024-12-12 00:59:37,271: INFO: utils]: File exists at data\02_intermediate_data\face_image.jpg
[2024-12-12 00:59:37,271: INFO: utils]: File exists at C:\Users\HARSHUL\Desktop\ekyc\E-KYC-\data\02_intermediate_data\extracted_face.jpg
[2024-12-12 01:00:07,983: INFO: app]: Page layout set to wider configuration.
[2024-12-12 01:00:07,985: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 01:00:07,988: INFO: app]: ID card type selected: PAN
[2024-12-12 01:00:07,988: INFO: app]: Header set for PAN Card registration.
[2024-12-12 01:01:02,685: INFO: app]: Page layout set to wider configuration.
[2024-12-12 01:01:02,686: INFO: app]: Custom theme applied to Streamlit app.
[2024-12-12 01:01:02,690: INFO: app]: ID card type selected: PAN
[2024-12-12 01:01:02,690: INFO: app]: Header set for PAN Card registration.
[2024-12-12 01:01:02,691: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-12-12 01:01:02,692: INFO: app]: Face image loaded.
[2024-12-12 01:01:02,692: ERROR: app]: No face image uploaded.
[2024-12-12 01:01:08,810: INFO: app]: Page layout set to wider configuration.
[2024-12-12 01:01:08,811: INFO: app]: Custom theme applied to Streamlit app.
